time,SOPR,SOPR Smoothing,Upper Bollinger Band,Lower Bollinger Band,btc active adresses,btc sending adresses,btc receiving adresses,btc new adresses,btc blocks,btc blocksminted,btc meanblocksize,btc totalblocksize,btc difficulty,btc hashrate,btc totalvolume,btc totalvolume usd
1554076800,0.0119693999999981,-0.362298130293105,0.429747522608696,-0.799059822608695,694235.24468681,458664.184502417,519686.639103575,352792.268612915,569149.087923734,143.313794725847,1136931.82299688,162375142.987758,2.68356597959847E+022,4.50704037445825E+019,1265657.02971098,5162568033.86058
1554163200,0.840684599999997,-0.0416728338761781,0.625413940944916,-0.894607300944915,729453.563834663,479664.696411069,546420.341084743,371626.219774203,569294.890119418,145.802195684784,1151218.21418332,167549588.808165,2.68655398330784E+022,4.59666939728402E+019,1658650.65931936,7106628647.2242
1554249600,1.3710924,0.381386590464945,0.947233146589768,-1.05640728658977,752503.643137452,494732.387972693,560970.824523881,381976.907087984,569440.001006797,145.11088737846,1168874.90123322,169315637.933953,2.6889987136155E+022,4.57909314323238E+019,1594327.86168381,7007034258.0865
1554336000,0.579306000000002,0.487590846744047,1.01921907352263,-1.05692709352263,762315.708021551,499632.681068567,568746.492792266,387658.560344715,569584.182641925,144.181635127831,1176890.02828172,169406273.582326,2.69099894750359E+022,4.5828943899174E+019,1536735.02854767,6890536182.22775
1554422400,0.0227267999999947,0.405824874608764,1.0082245217331,-0.974759821733105,784428.124744906,515096.011783373,580350.766830036,392080.640282039,569730.876707029,146.694065104589,1188540.72394512,174254783.658266,2.69263550250294E+022,4.64054995538697E+019,1453773.99045146,6618539597.07523
1554508800,0.282327600000003,0.417592351952626,1.02628198150588,-0.970071341505875,764991.556609468,505687.282368214,561748.809224575,380734.523867123,569876.171851206,145.295144176482,1192749.91344365,173194838.629491,2.69397450204786E+022,4.59681359986206E+019,1330276.47447925,6126917798.95712
1554595200,0.283877400000003,0.427689924324877,1.05032988107345,-0.951434581073445,738978.728135019,487306.685573993,540985.753001925,367004.064982191,570020.686060077,144.514208871667,1182958.45142488,170902042.33322,2.69507004713007E+022,4.57921112715987E+019,1239521.59135236,5790581916.27111
1554681600,0.461419799999998,0.489752301720353,1.08497569502139,-0.948756195021387,745832.595746834,491006.92456054,547901.434274302,372546.416803611,570165.834049154,145.147989076818,1189397.11750488,172614202.818089,2.69596640219733E+022,4.58299092222171E+019,1284523.64669003,6155455121.26998
1554768000,0.2924514,0.489328065043925,1.10596264032393,-0.930850420323929,751610.305611046,495107.847367715,552298.446224429,376586.886475682,570308.591494763,142.757445608306,1200641.02864724,171259529.396618,2.696699783616E+022,4.51335620909049E+019,1409961.56787448,6910862585.30017
1554854400,0.444954599999998,0.535194053217757,1.14025433348084,-0.89841863348084,756728.977318129,497812.96602813,559728.91054726,381868.543480103,570452.302132078,143.710637315887,1203010.82564995,172780321.688142,2.69729982295854E+022,4.54729144380131E+019,1439963.50487742,7164749949.07337
