time,open,high,low,close,EMA20,EMA50,EMA100,EMA200,SMA20,SMA50,SMA100,SMA2000
1308231000,2209.75,2216.73999,2180.93994,2199.92993,2277.62104441125,2309.89586041481,2296.8142609561,2217.37298995115,2289.2029905,2332.5997998,2327.1948073,2224.6758571
1308317400,2220.04004,2225.78003,2186.78003,2192.95996,2269.55808399113,2305.31013882992,2294.75774014509,2217.13007423024,2280.3674925,2329.8121972,2326.0841066,2226.54040665
1308576600,2187.20996,2210.63989,2186.77002,2204.36011,2263.34875313484,2301.35131416992,2292.96768806301,2217.00300990954,2273.0140015,2327.2418018,2324.9858083,2228.3593068
1308663000,2210.96997,2253.27002,2203.70996,2251.82007,2262.25078331247,2299.40891243777,2292.15288374493,2217.3494483184,2269.7660035,2325.8546046,2324.2033083,2230.26685685
1308749400,2243.20996,2254.63989,2234.83008,2235.75,2259.72689918747,2296.91248449903,2291.0359949579,2217.53253838488,2266.376001,2324.2796046,2323.8557082,2232.16310685
1308835800,2210.48999,2256.69995,2204.46997,2255.05005,2259.28148497914,2295.27082040103,2290.32340198844,2217.90584695817,2263.581006,2323.4146046,2323.5871096,2234.0383571
1308922200,2245.48999,2248.12012,2213.1001,2217.06006,2255.26039688589,2292.20373175785,2288.87264274114,2217.89743116754,2258.1375125,2321.4232082,2322.5082107,2235.69295795
1309181400,2217.62988,2263.20996,2215.13989,2252.23999,2254.97273908723,2290.63652619872,2288.14724367696,2218.23914817085,2253.9450075,2320.243008,2321.8197097,2237.49245745
1309267800,2256.52002,2286.91992,2254.93994,2285.75,2257.90390679321,2290.44489772034,2288.09977350514,2218.91089794029,2249.6055055,2319.8064064,2321.446509,2239.31285785
1309354200,2290.5,2299.32007,2278.8501,2294.42993,2261.38257567005,2290.60117349601,2288.2251231387,2219.66233109511,2248.203003,2319.8482032,2321.0088088,2241.14205705
1309440600,2303,2327.36011,2302.66992,2325.07007,2267.44805132052,2291.95289492754,2288.95472604685,2220.71116431805,2248.121509,2320.2142042,2320.76751,2243.0694069
1309527000,2326.15991,2363.36011,2320.57007,2361.38989,2276.39489309952,2294.67591434215,2290.38908572909,2222.11095263329,2251.5755005,2320.2868018,2320.7453078,2245.1358058
1309872600,2363.08008,2374.40991,2357.31006,2371.20996,2285.42489947099,2297.67724946599,2291.98949908099,2223.5945248459,2256.4119995,2320.165,2320.8479079,2247.2127052
1309959000,2368.75,2383.77002,2361.46997,2378.58008,2294.29682142614,2300.84990948693,2293.70416404968,2225.1366696733,2261.8930055,2320.0622022,2320.9902077,2249.15845595
1310045400,2396.63989,2418.98999,2394.23999,2412.88989,2305.59139938555,2305.24363421293,2296.06427743483,2227.00486092033,2269.8930055,2320.3993994,2321.3276076,2251.27735485
1310131800,2390.15991,2405.91992,2379.13989,2405.88989,2315.14363658693,2309.19054620458,2298.23904204009,2228.78481145844,2277.355005,2320.2453954,2321.5305055,2253.39300425
1310391000,2380.56006,2392.09009,2354.12012,2362,2319.60614738817,2311.26150517695,2299.50163526701,2230.11033572253,2284.4005005,2319.2873974,2321.3313063,2255.29225475
1310477400,2362.18994,2366.3501,2342.12988,2343.79004,2321.90937525597,2312.53713399354,2300.37863338054,2231.24147705863,2290.476001,2318.0815966,2320.7898073,2256.8920045
1310563800,2360.42993,2377.34009,2345.80005,2352.42993,2324.8160947554,2314.10155736634,2301.40935212548,2232.44733231178,2295.580493,2317.0453954,2320.3384059,2258.5992042
1310650200,2358.88989,2370.71997,2318.19995,2325.06006,2324.8393295406,2314.53130256766,2301.87768297448,2233.36885199027,2301.3829955,2315.6905956,2319.6643068,2260.16235485
1310736600,2351.81006,2357.36011,2336.12988,2356.66992,2327.87081434626,2316.18379736893,2302.96267776706,2234.59572828887,2309.219995,2315.0737938,2320.0024049,2261.90030405
1310995800,2346.53003,2354.56006,2322.62012,2344.01001,2329.40788059899,2317.27502139368,2303.77549622712,2235.68442760938,2316.7724975,2314.4497948,2320.4331056,2263.6301539
1311082200,2367.81006,2400.58008,2365.73999,2398.16992,2335.95664625623,2320.44737035863,2305.64469273748,2237.30119867794,2326.462988,2314.7495946,2321.2817042,2265.638003
1311168600,2411.70996,2414,2384.5,2387.80005,2340.89411327945,2323.0886519132,2307.27153149515,2238.79869968612,2333.261987,2314.6861962,2321.6968043,2267.70035285
1311255000,2389.56006,2417.12988,2377.82007,2404.23999,2346.9270539195,2326.27105732836,2309.1916989903,2240.44488167929,2341.6864865,2314.543994,2322.2293043,2269.5984034
1311341400,2403.19995,2432.84009,2402.06006,2429.5,2354.79114402241,2330.31925115862,2311.57404158455,2242.32602713522,2350.408984,2315.2723924,2323.3717042,2271.7133033
1311600600,2408.6499,2437.41992,2406.16992,2424.1499,2361.39673982979,2333.99888444652,2313.80326650366,2244.13521990005,2360.763476,2315.5975926,2324.345503,2273.7759034
1311687000,2423.15991,2438.43994,2418.52002,2429.44995,2367.87799794124,2337.74206348783,2316.09329984023,2245.97914756273,2369.623974,2316.6017918,2324.9224024,2275.788003
1311773400,2414.36011,2416.21997,2362.12012,2367.15991,2367.80960861351,2338.89570452753,2317.10451984339,2247.18492629345,2373.6944695,2317.187988,2324.9944019,2277.48890265
1311859800,2367.43994,2401.25,2359.87012,2371.77002,2368.18679065031,2340.18489336959,2318.18700499501,2248.42457896715,2377.561474,2317.7531882,2325.4314014,2279.1400025
1311946200,2349.30005,2388.23999,2341.82007,2362.81006,2367.67472106457,2341.07215480607,2319.07062984659,2249.56274295752,2379.4484735,2317.7503904,2325.6840015,2280.6678028
1312205400,2391.41992,2396.5,2325.16992,2354.05005,2366.37713334413,2341.5810918725,2319.76329163181,2250.60241765446,2379.0814815,2317.437993,2325.9976026,2282.165503
1312291800,2340.72998,2352.47998,2291.37012,2292.8501,2359.37455873993,2339.67007258338,2319.23035714405,2251.02279260318,2375.1634885,2316.2663964,2326.0832032,2283.1411036
1312378200,2294.93994,2316.72998,2254.90991,2312.78003,2354.93698457422,2338.61556110952,2319.10262789367,2251.63729247777,2371.873486,2316.1863964,2326.2184034,2284.18425425
1312464600,2275.30005,2284.30005,2207.05005,2207.19995,2340.86679080525,2333.46200773268,2316.88673328191,2251.19512986605,2361.588989,2314.2593944,2325.3832032,2284.8716041
1312551000,2227.48999,2240.67993,2131.52002,2194.37988,2326.91565644285,2328.00780664512,2314.4608549991,2250.62980399674,2351.0134885,2311.927993,2324.7308008,2285.4147535
